Date,Closing Price (USD),active_addresses,hash_rate,btc_left,total_addresses,difficulty,total_fees,fed_assets,GLD,IYE,SLV,SPY,TLT,UUP,NYFed_inflation,Google_popularity
2013-10-01,123.65498999999998,89218,1309351515956620,9220600.0,18656301,639173596179762000,39.13974553,3747387.0,124.589996,47.43,20.41,169.33999599999999,105.800003,21.610001,1.738484455,3
2013-10-02,125.455,105303,1307159450402430,9215825.0,18708039,639173596179762000,39.92303312,3747387.0,127.059998,47.540001000000004,20.92,169.179993,105.959999,21.530001000000002,1.738484455,3
2013-10-03,108.58483000000001,89993,1452700445873280,9210850.0,18751619,639173596179762000,36.60294587,3748997.857142857,127.18,47.099998,20.92,167.619995,105.790001,21.51,1.738484455,3
2013-10-04,118.67466,77370,1283409529949880,9206350.0,18791964,639173596179762000,24.77279491,3750608.7142857136,126.529999,47.52,20.93,168.889999,105.709999,21.610001,1.738484455,3
2013-10-05,121.33866,64961,1602048841926960,9200875.0,18823649,639173596179762000,26.06242489,3752219.5714285714,126.529999,47.52,20.93,168.889999,105.709999,21.610001,1.738484455,3
2013-10-06,120.65533,60512,1498212320882360,9196250.0,18854508,812956775408060000,21.15735044,3753830.4285714286,126.529999,47.52,20.93,168.889999,105.709999,21.610001,1.738484455,3
2013-10-07,121.795,76050,1453538761761120,9192350.0,18894507,812956775408060000,32.57715142,3755441.2857142864,127.639999,47.169998,21.530001000000002,167.429993,106.139999,21.549999,1.738484455,3
2013-10-08,123.03299999999999,75519,1523365505193240,9188300.0,18936521,812956775408060000,17.13190379,3757052.142857143,127.400002,46.700001,21.49,165.479996,106.16999799999999,21.559998999999998,1.738484455,3
2013-10-09,124.04899999999999,80026,1573011164177310,9183850.0,18981656,812956775408060000,30.37507628,3758663.0,126.110001,46.490002000000004,21.049999,165.600006,105.32,21.66,1.738484455,3
2013-10-10,125.96116,79814,1803127140049070,9179050.0,19027925,812956775408060000,31.05788363,3766511.0,124.269997,47.330002,20.83,169.169998,105.489998,21.700001,1.738484455,3
2013-10-11,125.27966,79150,1736004379925790,9174425.0,19072137,812956775408060000,22.76995908,3774359.0,122.599998,47.849998,20.52,170.259995,105.459999,21.66,1.738484455,3
